-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2025 through 12/31/2025 in LST
Location: latitude  -7.629   longitude 111.524 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 222.2 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,T2M,T2M_MAX,T2M_MIN,RH2M,WS10M,PRECTOTCORR
2025,1,1,3.7493,7.2636,24.78,26.85,23.2,90.45,2.07,18.84
2025,1,2,3.8594,7.2192,24.9,27.42,23.06,90.13,1.27,15.87
2025,1,3,6.1181,7.2785,25.54,30.19,22.46,85.92,2.54,0.34
2025,1,4,5.501,7.127,25.3,29.51,21.97,86.48,2.87,2.4
2025,1,5,4.3608,7.0867,25.79,30.11,22.13,88.13,2.12,1.44
2025,1,6,4.6865,7.1556,25.23,28.2,22.99,88.87,1.94,5.5
2025,1,7,5.6117,6.9127,25.59,29.15,22.94,89.36,1.42,10.34
2025,1,8,3.3977,7.0769,25.16,27.12,23.5,94.66,2.41,11.84
2025,1,9,5.4662,7.3258,25.73,29.25,22.94,88.63,1.98,3.19
2025,1,10,5.6213,7.2502,26.0,29.04,23.69,87.07,1.73,1.77
2025,1,11,5.5692,7.0538,26.09,30.23,22.55,86.78,2.06,22.68
2025,1,12,4.4621,7.003,25.47,29.18,22.85,89.73,2.63,19.79
2025,1,13,4.7724,7.1069,25.75,29.35,22.7,88.43,1.54,0.68
2025,1,14,5.0244,6.9125,25.11,27.34,23.49,92.59,2.16,28.02
