-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2025 through 12/31/2025 in LST
Location: Latitude  -7.629   Longitude 111.524 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 222.2 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,T2M,RH2M
2025,1,1,0,0.0,0.0,23.76,97.3
2025,1,1,1,0.0,0.0,23.69,97.08
2025,1,1,2,0.0,0.0,23.56,96.8
2025,1,1,3,0.0,0.0,23.38,96.77
2025,1,1,4,0.0,0.0,23.2,96.72
2025,1,1,5,8.95,15.82,23.22,96.28
2025,1,1,6,98.47,183.82,23.99,93.56
2025,1,1,7,208.95,415.15,24.6,90.71
2025,1,1,8,329.95,641.67,25.43,86.64
2025,1,1,9,378.3,823.38,26.01,81.73
2025,1,1,10,562.62,942.08,26.42,78.0
2025,1,1,11,619.55,990.0,26.7,77.26
2025,1,1,12,636.78,962.08,26.83,77.77
2025,1,1,13,452.67,859.75,26.85,78.75
2025,1,1,14,221.27,689.65,26.67,80.83
2025,1,1,15,140.93,470.83,26.35,83.97
2025,1,1,16,78.22,232.68,25.88,87.93
2025,1,1,17,12.52,36.58,25.08,93.24
2025,1,1,18,0.0,0.0,24.38,95.51
2025,1,1,19,0.0,0.0,24.18,95.6
2025,1,1,20,0.0,0.0,23.97,96.02
2025,1,1,21,0.0,0.0,23.74,96.89
2025,1,1,22,0.0,0.0,23.51,97.56
2025,1,1,23,0.0,0.0,23.33,97.91
2025,1,2,0,0.0,0.0,23.21,97.8
2025,1,2,1,0.0,0.0,23.12,97.71
2025,1,2,2,0.0,0.0,23.06,97.56
2025,1,2,3,0.0,0.0,23.12,97.0
2025,1,2,4,0.0,0.0,23.28,95.99
2025,1,2,5,10.88,14.65,23.53,95.18
2025,1,2,6,107.9,175.38,24.38,94.66
2025,1,2,7,270.02,409.88,25.76,88.09
2025,1,2,8,443.08,633.95,26.72,82.82
2025,1,2,9,445.65,815.65,26.97,80.82
2025,1,2,10,501.9,936.85,27.06,79.97
2025,1,2,11,518.67,984.88,27.19,79.88
2025,1,2,12,472.48,956.22,27.42,78.75
2025,1,2,13,507.3,854.9,27.36,78.89
2025,1,2,14,301.2,688.5,26.89,81.03
2025,1,2,15,180.8,473.8,26.25,85.23
2025,1,2,16,86.75,236.6,25.6,88.66
2025,1,2,17,12.85,37.92,24.79,92.66
2025,1,2,18,0.0,0.0,24.2,94.73
2025,1,2,19,0.0,0.0,23.94,94.88
2025,1,2,20,0.0,0.0,23.73,94.98
2025,1,2,21,0.0,0.0,23.52,95.07
2025,1,2,22,0.0,0.0,23.32,95.22
2025,1,2,23,0.0,0.0,23.1,95.54
2025,1,3,0,0.0,0.0,22.94,95.68
2025,1,3,1,0.0,0.0,22.78,95.94
2025,1,3,2,0.0,0.0,22.69,95.88
2025,1,3,3,0.0,0.0,22.6,95.69
2025,1,3,4,0.0,0.0,22.46,95.93
2025,1,3,5,11.48,14.4,22.53,96.43
2025,1,3,6,148.07,176.57,24.19,92.16
2025,1,3,7,354.33,414.02,25.95,85.28
2025,1,3,8,563.65,640.72,27.47,78.79
2025,1,3,9,712.5,818.22,28.58,74.17
2025,1,3,10,727.4,939.4,29.44,70.97
2025,1,3,11,758.1,987.28,29.99,68.89
2025,1,3,12,786.72,960.38,30.19,67.8
2025,1,3,13,718.53,859.8,29.96,67.94
2025,1,3,14,639.67,698.83,29.4,69.7
2025,1,3,15,439.27,483.73,28.53,73.31
2025,1,3,16,221.75,244.75,27.32,78.85
2025,1,3,17,36.53,40.3,25.63,87.68
2025,1,3,18,0.0,0.0,24.37,92.41
2025,1,3,19,0.0,0.0,23.83,93.79
2025,1,3,20,0.0,0.0,23.4,95.01
2025,1,3,21,0.0,0.0,23.1,95.89
2025,1,3,22,0.0,0.0,22.9,96.59
2025,1,3,23,0.0,0.0,22.72,97.19
2025,1,4,0,0.0,0.0,22.55,97.68
2025,1,4,1,0.0,0.0,22.33,98.38
2025,1,4,2,0.0,0.0,22.16,98.86
2025,1,4,3,0.0,0.0,22.04,99.06
2025,1,4,4,0.0,0.0,21.97,99.04
2025,1,4,5,11.73,13.05,22.34,97.86
2025,1,4,6,148.23,161.95,24.27,91.53
2025,1,4,7,356.02,391.58,25.9,84.4
2025,1,4,8,569.75,616.78,27.2,78.66
2025,1,4,9,688.75,798.05,28.18,74.46
2025,1,4,10,689.65,908.7,28.9,71.37
2025,1,4,11,766.67,987.1,29.35,69.39
2025,1,4,12,787.7,959.53,29.51,68.52
2025,1,4,13,599.55,857.92,29.41,68.62
2025,1,4,14,481.27,689.83,29.02,69.96
2025,1,4,15,239.93,471.92,28.32,72.67
2025,1,4,16,136.02,232.9,27.21,77.18
2025,1,4,17,25.67,37.65,25.59,87.28
2025,1,4,18,0.0,0.0,24.43,91.82
2025,1,4,19,0.0,0.0,23.96,93.26
2025,1,4,20,0.0,0.0,23.57,94.78
2025,1,4,21,0.0,0.0,23.23,96.1
2025,1,4,22,0.0,0.0,23.02,96.97
2025,1,4,23,0.0,0.0,22.84,97.58
2025,1,5,0,0.0,0.0,22.66,97.9
2025,1,5,1,0.0,0.0,22.47,97.9
2025,1,5,2,0.0,0.0,22.27,98.04
2025,1,5,3,0.0,0.0,22.16,98.07
2025,1,5,4,0.0,0.0,22.13,98.12
2025,1,5,5,9.98,12.32,22.43,97.72
2025,1,5,6,99.9,157.3,23.91,93.96
2025,1,5,7,240.0,386.17,25.38,88.78
2025,1,5,8,383.85,608.33,27.05,81.27
2025,1,5,9,450.48,792.5,28.53,74.84
2025,1,5,10,533.05,917.62,29.5,71.15
2025,1,5,11,632.22,971.95,30.05,68.94
2025,1,5,12,606.62,949.33,30.11,69.14
2025,1,5,13,546.35,851.5,29.68,71.92
2025,1,5,14,434.0,687.6,29.11,75.55
2025,1,5,15,270.65,474.05,28.37,80.05
2025,1,5,16,130.85,238.2,27.46,85.29
2025,1,5,17,22.92,39.92,26.32,91.11
2025,1,5,18,0.0,0.0,25.58,94.83
2025,1,5,19,0.0,0.0,25.24,95.62
2025,1,5,20,0.0,0.0,24.98,96.2
2025,1,5,21,0.0,0.0,24.72,96.42
2025,1,5,22,0.0,0.0,24.5,96.27
2025,1,5,23,0.0,0.0,24.27,96.08
2025,1,6,0,0.0,0.0,24.01,95.96
2025,1,6,1,0.0,0.0,23.75,95.98
2025,1,6,2,0.0,0.0,23.52,95.88
2025,1,6,3,0.0,0.0,23.26,96.01
2025,1,6,4,0.0,0.0,23.05,96.21
2025,1,6,5,11.15,12.6,22.99,95.96
2025,1,6,6,127.05,164.73,23.68,94.4
2025,1,6,7,297.9,399.25,24.32,92.03
2025,1,6,8,468.1,626.55,25.15,88.81
2025,1,6,9,621.45,814.8,26.12,83.6
2025,1,6,10,713.33,938.5,26.91,79.71
2025,1,6,11,746.33,975.45,27.54,77.15
2025,1,6,12,687.9,950.65,28.0,75.42
2025,1,6,13,450.95,840.28,28.2,74.47
2025,1,6,14,398.45,686.65,28.07,74.93
2025,1,6,15,87.9,472.05,27.72,76.48
2025,1,6,16,70.82,234.75,27.16,80.95
2025,1,6,17,5.25,39.28,26.2,86.98
2025,1,6,18,0.0,0.0,25.22,93.11
2025,1,6,19,0.0,0.0,24.77,94.56
2025,1,6,20,0.0,0.0,24.41,95.39
2025,1,6,21,0.0,0.0,24.12,95.92
2025,1,6,22,0.0,0.0,23.86,96.34
2025,1,6,23,0.0,0.0,23.61,96.62
2025,1,7,0,0.0,0.0,23.37,96.84
2025,1,7,1,0.0,0.0,23.2,96.82
2025,1,7,2,0.0,0.0,23.09,96.91
2025,1,7,3,0.0,0.0,23.01,97.03
2025,1,7,4,0.0,0.0,22.94,97.11
2025,1,7,5,10.32,11.12,23.05,97.17
2025,1,7,6,128.38,142.75,24.42,93.14
2025,1,7,7,309.88,358.02,25.99,86.05
2025,1,7,8,528.33,579.08,27.17,80.8
2025,1,7,9,694.67,764.38,28.23,76.49
2025,1,7,10,772.58,892.47,28.89,73.45
2025,1,7,11,771.42,964.4,29.15,72.41
2025,1,7,12,728.0,937.72,28.92,73.57
2025,1,7,13,664.33,845.58,28.46,76.14
2025,1,7,14,482.4,680.12,27.82,79.83
2025,1,7,15,325.67,467.08,27.08,84.44
2025,1,7,16,166.88,231.02,26.32,89.28
