t_s,G_W_m2,T_cell_C
0.0,0.0,21.81
3600.0,0.0,21.57
7200.0,0.0,21.36
10800.0,0.0,21.18
14400.0,0.0,21.02
18000.0,0.0,20.87
21600.0,103.05,25.066249999999997
25200.0,296.3,31.6575
28800.0,486.17,38.29425
32400.0,606.67,42.56675
36000.0,670.95,45.06375
39600.0,652.72,45.248000000000005
43200.0,651.67,45.56175
46800.0,595.4,44.205
50400.0,456.95,40.45375
54000.0,289.02,35.575500000000005
57600.0,116.22,30.2555
61200.0,4.7,25.3475
64800.0,0.0,24.46
68400.0,0.0,24.09
72000.0,0.0,23.65
75600.0,0.0,23.37
79200.0,0.0,23.13
82800.0,0.0,22.86
