t_s,G_W_m2,T_cell_C
0.0,0.0,20.15
3600.0,0.0,19.89
7200.0,0.0,19.77
10800.0,0.0,19.66
14400.0,0.0,19.55
18000.0,0.0,19.48
21600.0,67.15,22.94875
25200.0,215.27,28.74175
28800.0,383.23,35.17075
32400.0,524.62,40.2355
36000.0,639.42,44.2055
39600.0,602.15,43.91375
43200.0,520.25,42.18625
46800.0,440.05,40.25125
50400.0,361.58,38.0195
54000.0,191.2,33.12
57600.0,71.88,29.017
61200.0,5.47,25.43675
64800.0,0.0,24.55
68400.0,0.0,24.14
72000.0,0.0,23.71
75600.0,0.0,23.23
79200.0,0.0,22.82
82800.0,0.0,22.52
