t_s,G_W_m2,T_cell_C
0.0,0.0,21.74
3600.0,0.0,21.4
7200.0,0.0,21.05
10800.0,0.0,20.75
14400.0,0.0,20.55
18000.0,0.0,20.4
21600.0,101.6,24.939999999999998
25200.0,327.0,32.725
28800.0,543.88,40.137
32400.0,717.9,46.037499999999994
36000.0,777.83,48.725750000000005
39600.0,764.62,49.2455
43200.0,726.62,48.8155
46800.0,657.83,47.31575
50400.0,542.62,44.305499999999995
54000.0,354.58,39.1545
57600.0,157.15,33.38875
61200.0,10.98,27.6545
64800.0,0.0,26.16
68400.0,0.0,25.11
72000.0,0.0,24.03
75600.0,0.0,23.33
79200.0,0.0,22.85
82800.0,0.0,22.43
