t_s,G_W_m2,T_cell_C
0.0,0.0,22.89
3600.0,0.0,22.54
7200.0,0.0,22.25
10800.0,0.0,22.04
14400.0,0.0,21.82
18000.0,6.05,21.821250000000003
21600.0,151.85,27.78625
25200.0,393.67,36.50175
28800.0,625.28,44.461999999999996
32400.0,738.45,49.29125
36000.0,810.72,52.718
39600.0,847.58,54.87949999999999
43200.0,788.55,54.193749999999994
46800.0,686.17,51.94425
50400.0,599.5,49.537499999999994
54000.0,391.85,43.39625
57600.0,166.32,35.838
61200.0,10.5,28.4625
64800.0,0.0,26.62
68400.0,0.0,25.64
72000.0,0.0,24.95
75600.0,0.0,24.48
79200.0,0.0,24.03
82800.0,0.0,23.65
