t_s,G_W_m2,T_cell_C
0.0,0.0,24.22
3600.0,0.0,24.17
7200.0,0.0,24.11
10800.0,0.0,24.03
14400.0,0.0,23.99
18000.0,22.92,24.613
21600.0,135.85,28.01625
25200.0,296.98,32.6545
28800.0,456.75,37.348749999999995
32400.0,590.38,41.3495
36000.0,658.67,44.03675
39600.0,733.08,46.967
43200.0,663.08,46.087
46800.0,532.22,43.1255
50400.0,400.35,39.57875
54000.0,235.45,34.76625
57600.0,90.62,30.1055
61200.0,5.12,26.488
64800.0,0.0,25.38
68400.0,0.0,24.99
72000.0,0.0,24.68
75600.0,0.0,24.39
79200.0,0.0,24.17
82800.0,0.0,23.95
