t_s,G_W_m2,T_cell_C
0.0,0.0,23.89
3600.0,0.0,23.56
7200.0,0.0,23.31
10800.0,0.0,23.08
14400.0,0.0,22.87
18000.0,3.72,22.813
21600.0,129.52,27.528
25200.0,366.33,34.878249999999994
28800.0,606.28,42.397
32400.0,686.33,45.74825
36000.0,763.03,48.64575
39600.0,791.5,49.9375
43200.0,697.05,47.62625
46800.0,628.85,45.801249999999996
50400.0,470.77,41.58925
54000.0,280.85,36.15125
57600.0,125.78,31.1945
61200.0,11.35,26.833750000000002
64800.0,0.0,25.73
68400.0,0.0,25.34
72000.0,0.0,25.1
75600.0,0.0,24.9
79200.0,0.0,24.66
82800.0,0.0,24.43
