t,f,rocof,V_dc,P_mppt,P_vic,P_ref,P_inj,P_bess,SOC,alpha,beta,H_eff
0.0,50.000015100405065,0.3020081012488234,1200.0,124790.16202497647,0.0,124790.16202497647,124790.16202497647,0.0,0.6,1.0,0.0,1.0
0.001,50.00031673481979,0.29911572700978195,1200.0,124790.16202497647,-0.8054703801078292,124736.08677811359,124736.08677811359,-6040.162024976467,0.6000000318786329,0.9154476390320812,0.008819262838066456,1.0587950918348001
0.002,50.000614373272036,0.29631360481497493,1200.0,124790.16202497647,-3.178761484357195,124683.76656619695,124683.76656619695,-6040.162024976467,0.6000000637572659,0.8481780466617481,0.017088398766183788,1.1139226826525546
0.003,50.00090924695489,0.29358129795741644,1200.0,124790.16202497647,-7.147241667560219,124632.80805777323,124632.80805777323,-6040.162024976467,0.6000000956358988,0.7932941890192127,0.02486799607602698,1.165786693357378
0.004,50.00120187445331,0.295465195391613,1200.0,124790.16202497647,-12.720614365421302,124674.14267275145,124674.14267275145,-3209.1423709184737,0.6000001125730391,0.7477164563444527,0.032188892208618966,1.2145926952486326
0.005,50.001496324146395,0.29238852238794644,1200.0,124790.16202497647,-19.910313066363997,124616.29175676232,124616.29175676232,-3927.1026432541307,0.6000001332994142,0.708649851848184,0.03920446424089594,1.2613632110711825
0.006,50.00178755437133,0.2889288733814992,1200.0,124790.16202497647,-28.707380179372358,124550.7413167257,124550.7413167257,-4603.207586952101,0.6000001575941208,0.6755425559779645,0.0457753260288886,1.3051690005020584
0.007,50.00207520952825,0.2851696416598751,1200.0,124790.16202497647,-39.069944160780324,124479.15472127458,124479.15472127458,-5238.368605875605,0.6000001852410662,0.6472531701210208,0.05191260485871295,1.3460842460881355
0.008,50.002359014851685,0.28118564259581436,1200.0,124790.16202497647,-50.941713428761496,124403.0247965357,124403.0247965357,-5833.726515889117,0.6000002160301784,0.6229121823415491,0.057629632464998894,1.3841978264277426
0.009,50.00263876778101,0.2770430832795469,1200.0,124790.16202497647,-64.25462271496717,124323.67311092647,124323.67311092647,-6390.606810847106,0.600000249758381,0.6018454541943322,0.06294148634716527,1.4196102583183643
0.01,50.00291432938208,0.2727997746499034,1200.0,124790.16202497647,-78.93130927767432,124242.25411041488,124242.25411041488,-6910.478088327549,0.6000002862303486,0.583522188841404,0.0678645672976029,1.4524308803155146
0.011,50.003185616043666,0.26850552610807926,1200.0,124790.16202497647,-94.88738634009746,124159.76290675355,124159.76290675355,-7394.914291359507,0.6000003252590629,0.5675187016515755,0.07241621887471257,1.482775315921573
0.012,50.00345259161414,0.2642026685383483,1200.0,124790.16202497647,-112.03349390011601,124077.0456392759,124077.0456392759,-7845.561120552932,0.600000366666191,0.5534926615428539,0.07661439157306497,1.5107632347524658
0.013,50.00371526009162,0.25992665916498864,1200.0,124790.16202497647,-130.27711791752674,123994.81148028301,123994.81148028301,-8264.106727703625,0.6000004102823099,0.5411644330191434,0.08047735208288342,1.5365164142965353
0.014,50.00397365893694,0.25570672974620984,1200.0,124790.16202497647,-149.52417771665793,123913.64551492984,123913.64551492984,-8652.256616070392,0.6000004559469976,0.5303033342591845,0.08402343626513414,1.5601570931073767
0.015,50.00422785304275,0.25156654752415364,1200.0,124790.16202497647,-169.6803883008779,123834.02188442522,123834.02188442522,-9011.7125389821,0.6000005035088137,0.5207173626739293,0.08727084323299934,1.581806598035829
0.016,50.00447792936352,0.2475248656425036,1200.0,124790.16202497647,-190.65240932365853,123756.31672685305,123756.31672685305,-9344.155099843669,0.6000005528251878,0.5122454076608391,0.09023746714284041,1.601584222855306
0.017,50.00472399219025,0.2435961461435397,1200.0,124790.16202497647,-212.3487959231859,123680.82057765755,123680.82057765755,-9651.229704767287,0.6000006037622335,0.5047512748589053,0.09294076287010904,1.619606332783738
0.018,50.004966159038354,0.23979114405327148,1200.0,124790.16202497647,-234.68076875578527,123607.74999957981,123607.74999957981,-9934.535495887576,0.6000006561945042,0.4981190482760734,0.09539764159413261,1.6359856683952185
0.019,50.0052045571071,0.23611744545481705,1200.0,124790.16202497647,-257.56282161079486,123537.25829953162,123537.25829953162,-10195.616891588299,0.6000007100047045,0.4922494531737152,0.09762439236562881,1.6508308227473452
0.02,50.00543932026316,0.2325799559036723,1200.0,124790.16202497647,-280.913185193502,123469.44525889041,123469.44525889041,-10435.957373094967,0.6000007650833684,0.48705697636117556,0.09963662591927383,1.6642458668067097
0.021,50.005670586498,0.22918133816171318,1200.0,124790.16202497647,-304.6541652352814,123404.36585612287,123404.36585612287,-10656.975180020647,0.6000008213285152,0.4824675659507903,0.10144923726999189,1.6763301000972688
0.022,50.00589849580822,0.22592240014261444,1200.0,124790.16202497647,-328.712372212749,123342.03799895491,123342.03799895491,-10860.020606454813,0.6000008786452906,0.47841677888010703,0.10307638395671834,1.6871779056635576
