t,f,rocof,V_dc,P_mppt,P_vic,P_ref,P_inj,P_bess,SOC,alpha,beta,H_eff
0,50.0000151003869,0.302007738024228,1200,124790.154760485,0,124790.154760485,124790.154760485,0,0.6,1,0,1
0.001,50.0003167344392,0.299115370467136,1200,124790.154760485,-0.805469373870234,124736.079642726,124736.079642726,-6040.15476048455,0.600000031878595,0.915447732084714,0.00881925223725645,1.05879502116272
0.002,50.0006143725382,0.296313254610532,1200,124790.154760485,-3.17875739971616,124683.759553154,124683.759553154,-6040.15476048455,0.600000063757189,0.848178200480807,0.017088378365027,1.11392254664478
0.003,50.0009092458741,0.293580953816233,1200,124790.154760485,-7.14723226562524,124632.801161655,124632.801161655,-6040.15476048455,0.600000095635784,0.793294383910206,0.0248679665539073,1.16578649654312
0.004,50.0012018730304,0.295464846099144,1200,124790.154760485,-12.7205972915304,124674.135669334,124674.135669334,-3209.13858064272,0.600000112572904,0.747716679552497,0.0321888541936069,1.21459244181503
0.005,50.0014963223763,0.292388179774618,1200,124790.154760485,-19.9102858456623,124616.284882583,124616.284882583,-3927.09801217789,0.600000133299255,0.708650095986362,0.0392044180150371,1.26136290289851
0.006,50.001787552261,0.288928538228953,1200,124790.154760485,-28.7073402720712,124550.734587505,124550.734587505,-4603.20217564908,0.600000157593933,0.675542814599714,0.0457752722272901,1.30516864182436
0.007,50.0020752070854,0.285169314534881,1200,124790.154760485,-39.0698890542697,124479.148148443,124479.148148443,-5238.36247422384,0.600000185240846,0.647253438658841,0.0519125441061731,1.3460838410707
0.008,50.0023590120844,0.281185323874658,1200,124790.154760485,-50.9416406792865,124403.018387721,124403.018387721,-5833.71972235311,0.600000216029922,0.622912457513827,0.0576295653690322,1.38419737912065
0.009,50.0026387646979,0.277042773173126,1200,124790.154760485,-64.2545299817756,124323.666870453,124323.666870453,-6390.59941190306,0.600000249758086,0.601845733617621,0.0629414134924977,1.41960977261976
0.01,50.0029143259918,0.272799473228432,1200,124790.154760485,-78.9311943500237,124242.248039795,124242.248039795,-6910.47013802223,0.600000286230011,0.583522470770756,0.0678644892420235,1.45243035994398
0.011,50.0031856123549,0.268505233324634,1200,124790.154760485,-94.8872471576749,124159.757005158,124159.757005158,-7394.90584099001,0.600000325258681,0.567518984802889,0.0724161361461374,1.48277476439653
0.012,50.0034525876355,0.264202384250659,1200,124790.154760485,-112.033328567526,124077.039903967,124077.039903967,-7845.55221845245,0.600000366665762,0.553492944969039,0.0766143046676543,1.51076265538162
0.013,50.0037152558315,0.259926383155186,1200,124790.154760485,-130.276924713559,123994.805907008,123994.805907008,-8264.0974191176,0.600000410281832,0.54116471602235,0.080477261464052,1.53651581016931
0.014,50.0039736544036,0.255706461738302,1200,124790.154760485,-149.523955099059,123913.640098273,123913.640098273,-8652.24694310819,0.600000455946469,0.530303616327669,0.0840233423632957,1.56015646709318
0.015,50.0042278482441,0.251566287199294,1200,124790.154760485,-169.680134907335,123834.016618108,123834.016618108,-9011.70254062939,0.600000503508232,0.520717643436042,0.087270746445904,1.58180595278632
0.016,50.0044779243072,0.247524612651958,1200,124790.154760485,-190.652123969667,123756.311603996,123756.311603996,-9344.14481202333,0.600000552824552,0.512245686851099,0.0902373678363716,1.60158356080969
0.017,50.0047239868834,0.243595900119654,1200,124790.154760485,-212.348477597406,123680.815590998,123680.815590998,-9651.21916043738,0.600000603761542,0.504751552292717,0.0929406613794277,1.61960565617641
0.018,50.0049661534879,0.239790904618546,1200,124790.154760485,-234.680416613457,123607.745141654,123607.745141654,-9934.5247251659,0.600000656193756,0.49811932383071,0.0953975382250725,1.63598497926506
0.019,50.0052045513195,0.236117212229241,1200,124790.154760485,-257.562434965679,123537.253562821,123537.253562821,-10195.6059218962,0.600000710003898,0.492249726773901,0.0976242873962596,1.65083012294814
0.02,50.0054393142445,0.232579728510629,1200,124790.154760485,-280.912763508784,123469.440635938,123469.440635938,-10435.9462293129,0.600000765082503,0.487057247968062,0.099636519601568,1.66424515801828
0.021,50.005670580254,0.229181116232507,1200,124790.154760485,-304.653708113784,123404.361339627,123404.361339627,-10656.9638846503,0.60000082132759,0.482467835553484,0.10144912983154,1.67632938383688
0.022,50.0058984893442,0.225922183319969,1200,124790.154760485,-328.71187938676,123342.033581837,123342.033581837,-10860.0091797836,0.600000878644305,0.478417046489114,0.103076275602452,1.68717718329741
0.023,50.0061231817709,0.2228022232353,1200,124790.154760485,-353.018330101866,123282.444985452,123282.444985452,-11046.3630812797,0.600000936944555,0.474848543296394,0.104531368056069,1.69687796349384
0.024,50.0063447966303,0.219819310892505,1200,124790.154760485,-377.508615097762,123225.55878866,123225.55878866,-11217.236930279,0.600000996146639,0.471712865516325,0.105827073467857,1.70551616577757
0.025,50.0065634707242,0.216970557706749,1200,124790.154760485,-402.122786945606,123171.318931588,123171.318931588,-11373.7730096349,0.600001056174885,0.468966419006581,0.106975323045385,1.7131713310814
0.026,50.0067793376678,0.214252329616384,1200,124790.154760485,-426.805339240949,123119.654405469,123119.654405469,-11517.0457954178,0.600001116959294,0.46657063927565,0.107987329204653,1.7199182084288
0.027,50.0069925272064,0.211660431952091,1200,124790.154760485,-451.505107952076,123070.482941352,123070.482941352,-11648.0637371177,0.600001178435186,0.464491294834291,0.108873606790094,1.72582689640047
0.028,50.0072031647071,0.209190264924444,1200,124790.154760485,-476.1751399088,123023.714113412,123023.714113412,-11767.77143539,0.600001240542868,0.462697903935359,0.109643997952206,1.73096300898453
0.029,50.007411370798,0.206836953305715,1200,124790.154760485,-500.772536260725,122979.251927994,122979.251927994,-11877.0521078885,0.60000130322731,0.46116324370449,0.110307699615117,1.73538785869258
0.03,50.0076172611303,0.204595453627734,1200,124790.154760485,-525.258277585491,122936.996964525,122936.996964525,-11976.7302527245,0.600001366437831,0.459862934990269,0.110873292656172,1.73915865108896
0.031,50.0078209462408,0.20246064193357,1200,124790.154760485,-549.597036290907,122896.84812878,122896.84812878,-12067.5744355108,0.600001430127807,0.458775089611058,0.11134877208293,1.74232868596918
0.032,50.0080225314976,0.200427384824919,1200,124790.154760485,-573.756981030345,122858.704073103,122858.704073103,-12150.3001400261,0.600001494254391,0.457880009286468,0.1117415776322,1.74494756135188
0.033,50.0082221171115,0.198490596253398,1200,124790.154760485,-597.709577034822,122822.464332339,122822.464332339,-12225.5726344969,0.600001558778246,0.457159927590748,0.112058624333484,1.74706137723331
0.034,50.0084197982006,0.196645282221547,1200,124790.154760485,-621.429385551783,122788.030218637,122788.030218637,-12294.0098155794,0.600001623663298,0.4565987878844,0.112306332678067,1.74871293671283
