scheme,Δω_op,mode_idx,real,imag,omega_n,damping
C1,0.0,1,-50.0000000000001,0.0,50.0000000000001,1.0
C1,0.0,2,-33.963439563472086,-14.377089500149234,36.881105317993416,0.9208899589813033
C1,0.0,3,-33.963439563472086,14.377089500149234,36.881105317993416,0.9208899589813033
C1,0.0,4,-2.5731208730557498,0.0,2.5731208730557498,1.0
C1,0.0,5,0.0,0.0,0.0,1.0
C2,0.0,1,-50.00000000000012,0.0,50.00000000000012,1.0
C2,0.0,2,-33.96343955462007,-14.377089536172212,36.881105323884256,0.9208899585941991
C2,0.0,3,-33.96343955462007,14.377089536172212,36.881105323884256,0.9208899585941991
C2,0.0,4,-2.5731208907598955,0.0,2.5731208907598955,1.0
C2,0.0,5,0.0,0.0,0.0,1.0
C3,0.0,1,-50.00000000000011,0.0,50.00000000000011,1.0
C3,0.0,2,-33.963439545767955,-14.377089572195151,36.88110532977499,0.9208899582070948
C3,0.0,3,-33.963439545767955,14.377089572195151,36.88110532977499,0.9208899582070948
C3,0.0,4,-2.5731209084640554,0.0,2.5731209084640554,1.0
C3,0.0,5,0.0,0.0,0.0,1.0
C4,0.0,1,-50.00000000000011,0.0,50.00000000000011,1.0
C4,0.0,2,-33.963439545767955,-14.377089572195151,36.88110532977499,0.9208899582070948
C4,0.0,3,-33.963439545767955,14.377089572195151,36.88110532977499,0.9208899582070948
C4,0.0,4,-2.5731209084640554,0.0,2.5731209084640554,1.0
C4,0.0,5,0.0,0.0,0.0,1.0
C1,0.1,1,-49.99999997519616,0.0,49.99999997519616,1.0
C1,0.1,2,-33.96342420376196,-14.377079246067693,36.88108717611771,0.9208899955030317
C1,0.1,3,-33.96342420376196,14.377079246067693,36.88108717611771,0.9208899955030317
C1,0.1,4,-2.573121944206001,0.0,2.573121944206001,1.0
C1,0.1,5,0.0,0.0,0.0,1.0
C2,0.1,1,-49.99999997530716,0.0,49.99999997530716,1.0
C2,0.1,2,-33.802606525865365,-15.802956377403449,37.314201561986984,0.9058911918485486
C2,0.1,3,-33.802606525865365,15.802956377403449,37.314201561986984,0.9058911918485486
C2,0.1,4,-2.8947572998882194,0.0,2.8947572998882194,1.0
C2,0.1,5,0.0,0.0,0.0,1.0
C3,0.1,1,-49.99999997565153,0.0,49.99999997565153,1.0
C3,0.1,2,-33.57029494688369,-14.639324013634376,36.62341478339966,0.9166347579936795
C3,0.1,3,-33.57029494688369,14.639324013634376,36.62341478339966,0.9166347579936795
C3,0.1,4,-3.359562356447597,0.0,3.359562356447597,1.0
C3,0.1,5,0.0,0.0,0.0,1.0
C4,0.1,1,-49.99999997565153,0.0,49.99999997565153,1.0
C4,0.1,2,-33.57029494688369,-14.639324013634376,36.62341478339966,0.9166347579936795
C4,0.1,3,-33.57029494688369,14.639324013634376,36.62341478339966,0.9166347579936795
C4,0.1,4,-3.359562356447597,0.0,3.359562356447597,1.0
C4,0.1,5,0.0,0.0,0.0,1.0
C1,0.2,1,-339.3513547231854,0.0,339.3513547231854,1.0
C1,0.2,2,-49.999909116902785,0.0,49.999909116902785,1.0
C1,0.2,3,-21.347523785543725,0.0,21.347523785543725,1.0
C1,0.2,4,-3.7289517113439863,0.0,3.7289517113439863,1.0
C1,0.2,5,0.0,0.0,0.0,1.0
C2,0.2,1,-339.02352849211303,0.0,339.02352849211303,1.0
C2,0.2,2,-49.999849527163995,0.0,49.999849527163995,1.0
C2,0.2,3,-21.564218261155535,0.0,21.564218261155535,1.0
C2,0.2,4,-3.8401430565431722,0.0,3.8401430565431722,1.0
C2,0.2,5,0.0,0.0,0.0,1.0
C3,0.2,1,-339.1675809750998,0.0,339.1675809750998,1.0
C3,0.2,2,-49.99974945235185,0.0,49.99974945235185,1.0
C3,0.2,3,-21.231260605618463,0.0,21.231260605618463,1.0
C3,0.2,4,-4.0291483039052665,0.0,4.0291483039052665,1.0
C3,0.2,5,0.0,0.0,0.0,1.0
