scheme,metric,median,mean,p05,p95,max
C0 no-VIC,rocof,0.30145189953035584,0.6790073692091848,0.02477186622465052,2.780897791628001,5.910203439877074
C0 no-VIC,dfmax,1.5307841296653137,1.715071489825804,0.9667171590088589,3.009501073452687,5.518735307528679
C0 no-VIC,settling,4.0651,3.9471214285714282,1.8808825000000002,5.7285224999999995,5.79245
C0 no-VIC,bess_throughput_kWh,0.0,0.0,0.0,0.0,0.0
C0 no-VIC,pinj_p2p_steady_kW,0.0,0.0,0.0,0.0,0.0
C1 const,rocof,0.09678382602725566,0.09209483025188067,0.002296866865929545,0.23790173647289212,0.2711931088541772
C1 const,dfmax,0.06703868564216005,0.036853872167970196,0.00026637731033926003,0.06913464814429589,0.0694539272120096
C1 const,settling,0.063625,0.07527829999999999,0.0,0.2668749999999996,0.3969999999999998
C1 const,bess_throughput_kWh,0.0192402067193402,0.019198803840304205,0.010364503631272096,0.02834010112365392,0.0306981589868015
C1 const,pinj_p2p_steady_kW,5.95638372033136e-06,0.007519980016367172,2.404995757387952e-09,0.00011585741772575,7.493258655586192
C2 fuzzy,rocof,0.09433493876588969,0.08993710801434605,0.00229191666903354,0.23266331265037696,0.2660060118314786
C2 fuzzy,dfmax,0.0642120247070927,0.03546074119139354,0.00026684764232098504,0.06669426043012547,0.0675450573584512
C2 fuzzy,settling,0.05102499999999985,0.06103069999999998,0.0,0.21546999999999977,0.3384999999999998
C2 fuzzy,bess_throughput_kWh,0.0190250180730255,0.01896342191000911,0.010203453964198575,0.02834010112365392,0.0306981589868015
C2 fuzzy,pinj_p2p_steady_kW,5.9025481823482545e-06,0.014129428725216678,1.4194913092069328e-09,0.00010402589735089997,7.479315114167446
C3 adapt,rocof,0.0938486783995528,0.08844841809003151,0.002284905024183065,0.2265341109368888,0.2595983152844636
C3 adapt,dfmax,0.0616438839406114,0.03430063830714366,0.000267309405743855,0.06492278762124815,0.0660401385015347
C3 adapt,settling,0.039375000000000146,0.04869739999999998,0.0,0.16762000000000016,0.2840500000000001
C3 adapt,bess_throughput_kWh,0.0188677033366189,0.01876445745263593,0.009980220235418875,0.02834010112365392,0.0306981589868015
C3 adapt,pinj_p2p_steady_kW,5.846669955644756e-06,0.0075934378481143615,5.317750037647784e-10,8.977312877468648e-05,7.572004017204978
C4 PROPOSED,rocof,0.3397465015354581,0.3564573889985387,0.18611736514397112,0.5743166391265817,0.8614426377179988
C4 PROPOSED,dfmax,0.14950361537984586,0.15140938936877169,0.12454772938187121,0.1858298304620049,0.2095807516788284
C4 PROPOSED,settling,0.4292,0.5204017605633803,0.24431499999999984,1.1172024999999999,1.98615
C4 PROPOSED,bess_throughput_kWh,0.0459144712029752,0.04464530463772763,0.020891413927667805,0.06314725483006221,0.0778699567349279
C4 PROPOSED,pinj_p2p_steady_kW,6.525635612342739e-05,0.0016267967448089324,5.239693571638782e-06,0.00031735518599592,0.1989911370739864
